id,sentence
q10_11_page_13-0001,ĐẠI-NAM NHẤT-THỐNG-CHÍ
q10_11_page_13-0002,(QUYỂN 10)
q10_11_page_13-0003,TỈNH PHÚ-YÊN
q10_11_page_13-0004,"Từ đông đến tây 70 dặm, từ nam đến bắc 173 dặm."
q10_11_page_13-0005,Từ tỉnh-lỵ xuống phía đông đến biển 16 dặm Tây đến động mán 54 dặm; nam đến đèo Đại-Lãnh giáp giới huyện Ninh-Hòa tỉnh Khánh-Hòa 123 dặm; bắc đến núi Cù-Mông giáp-giới huyện Tuy-Phước tỉnh Bình-Định 50 dặm.
q10_11_page_13-0006,Theo phía bắc đến kinh-đô 731 dặm.
q10_11_page_15-0001,KIẾN TRÍ DUYÊN CÁCH
q10_11_page_15-0002,(Kiến thiết để yên cũ hay thay đổi mới) Nguyên xưa là đất Việt-Thường.
q10_11_page_15-0003,"Đời nhà Tần (Trung-quốc) thuộc về Tượng-Quận, đời nhà Hán (T. Q.) thuộc quận Nhật-Nam (Từ Tần Hán về sau cương-vực không khảo-cứu được, nên đây tạm cử đại lược mà thôi)."
q10_11_page_15-0004,"Sau bị Lâm-Áp thôn tính, rồi bị Chiêm-Thành chiếm lấy làm đất Bà-Đài (tức nay là Xuân-Đài), Đà-Lãng (nay gọi Đà-Diễn)."
q10_11_page_15-0005,"Đời Lê-Thánh-Tôn, niên-hiệu Hồng-Đức thứ 6 (1475) đánh Chiêm-Thành mở đất đến đây, lấy núi Thạch-Bi làm giới hạn, nhưng từ núi Cù-Mông vào nam còn thuộc Man-lèo (mọi rợ)."
q10_11_page_15-0006,"Qua triều Nguyễn đời vua Gia-Dụ-Hoàng-Đế (Chúa Tiên nhà Nguyễn năm thứ 21 là năm Mậu-dần 1578), vua ủy ông Lương-Văn-Chánh làm Trấn-biên-quan, chiêu tập lưu-dân đến Cù-Mông, Bà-Đài, khần đất hoang ở Đà-Diễn."
q10_11_page_15-0007,"Năm thứ 54, Tân-hợi (1611), người Chiêm xâm lấn biên-cảnh, vua sai Chủ-sự là Văn-Phong (thiếu họ) dẹp yên, lấy đất ấy làm 2 huyện Đồng-Xuân và Tuy-Hòa, đặt phủ Phú-Yên thuộc dinh Quảng-Nam và dùng ông làm Lưu-thủ."
q10_11_page_15-0008,"Đời vua Hy-Tôn Hoàng-Đế (Nguyễn-Phúc-Nguyên) năm thứ 16 (Kỷ-tỵ, Lê-Đức-Long nguyên-niên, 1629) Văn-Phong phản-nghịch, vua sai Phó-tướng Nguyễn-Vinh đánh dẹp rồi lập dinh Trấn-biên, sau gọi là Phú-Yên-dinh, đặt quan Tuần-thủ; lại ở theo những chỗ duyên-biên gần biên đặt làm 38 thuộc (1)."
q10_11_page_15-0009,"Đời vua (1) Thuộc: lệ thuộc dưới chính quyền; một vùng rộng chia làm nhiều khu vực, cũng như thôn ấp vậy, mỗi thuộc có một Thuộc-Trưởng."
q10_11_page_16-0001,"Duệ-Tôn Hoàng-Đế (Nguyễn-Phúc-Thuần) năm thứ 9, Quý-tỵ (1773, năm Lê-Cảnh-Hưng 34 tức 1773), đất này bị Tây-Sơn chiếm cứ, đầu lúc trung-hưng mới thâu phục."
q10_11_page_16-0002,Qua năm Gia-Long thứ 7 (1808) đổi làm Trấn và đặt chức Trấn-thủ.
q10_11_page_16-0003,Năm Minh-Mạng thứ 7 (1826) lại đặt làm Phú-Yên-phủ đặt chức Tri-phủ.
q10_11_page_16-0004,Năm thứ 12 (1831) đổi làm Tuy-An-phủ thuộc vào Bình-Định.
q10_11_page_16-0005,"Năm thứ 13 (1832) phân hạt, thăng làm Phú-Yên-tỉnh, đặt 2 ty Bố-chính và Án-sát, thuộc Bình-Phú tổng-đốc thống-hạt."
q10_11_page_16-0006,"Năm Tự-Đức thứ 6 (1853) đổi làm Đạo, đặt 1 Quản-đạo, văn-thơ sở sách phải viết 3 chữ Bình-Định-tỉnh lên đầu."
q10_11_page_16-0007,"Năm thứ 12 (1859) đặt thêm chức Tuyên-phủ-sứ; năm thứ 16 (1863) giảm chức Tuyên-phủ, lại đặt Chính Phó quản-đạo (1 chánh, 1 phó)."
q10_11_page_16-0008,"Năm thứ 29 (1876) lại đặt làm tỉnh với 2 ty Bố, Án, cũng thống hạt như cũ (thống hạt Bình-Phú tổng-đốc)."
q10_11_page_16-0009,"Năm Thành-Thái 11 (1899) lại đặt chức Tri huyện huyện Đồng-Xuân, thuộc phủ Tuy-An, và thăng huyện Tuy-Hoa làm phủ."
q10_11_page_16-0010,"Sau lại cắt miền thượng-du của 2 phủ Tuy-An, Tuy-Hoa và huyện Đồng-Xuân đặt làm huyện Sơn-Hoa, đặt chức Tri huyện, thuộc vào phủ Tuy-Hoa."
q10_11_page_16-0011,Tỉnh này nay lãnh 2 phủ 2 huyện.
q10_11_page_16-0012,PHỦ TUY-AN
q10_11_page_16-0013,"Cách tỉnh 21 dặm Đông đến tây 35 dặm, nam đến bắc 43 dặm."
q10_11_page_16-0014,Từ phủ-lỵ xuống phía đông đến biển 10 dặm; tây đến địa-giới huyện Sơn-Hòa 25 dặm; nam đến địa-giới phủ Tuy-Hòa 30 dặm; bắc đến giáp-giới huyện Đồng-Xuân 13 dặm.
q10_11_page_16-0015,"Nguyên trước là phủ Phú-Yên, năm Minh-Mạng 12 (1831) đổi lại tên này (Tuy-An)."
q10_11_page_16-0016,"Năm thứ 13 (1832) chia ra từng hạt, đặt chức Tri-phủ kiêm-lý Đồng-Xuân thống hạt Tuy-Hòa (1)."
q10_11_page_16-0017,"Năm Tự-Đức thứ 6 (1853) đổi làm (1) Kiêm-lý: Nghĩa là huyện Đồng-Xuân không đặt viên Tri huyện-viên phủ Tuy-An phải kiêm-lý (kiêm-lý nghĩa như kiêm-trị) Thống hạt: nghĩa là huyện Tuy-Hòa tuy có viên Tri huyện, nhưng ở dưới quyền viên phủ Tuy-An thống quản."
q10_11_page_17-0001,"Đạo, do Đạo kiêm-lý phủ."
q10_11_page_17-0002,"Năm 29 đổi làm Tỉnh, lại đặt Tri-phủ thống hạt như cũ."
q10_11_page_17-0003,"Năm Thành-Thái 11 (1899) thăng huyện Tuy-Hòa làm phủ, và đặt Tri huyện huyện Đồng-Xuân, trích tổng Xuân-Sơn trong hạt chia đặt làm 2 tổng An-Sơn và An-Hải; trích tổng Xuân-Vinh chia đặt làm 2 tổng An-Vinh và An-Đức; lại trích 8 xã thôn ở huyện Sơn-Hòa đặt làm tổng An-Phú đều thuộc phủ quản-hạt Còn 2 tổng Xuân-Đài và Xuân-Sơn-thượng cải thuộc huyện Đồng-Xuân."
q10_11_page_17-0004,"Phủ Tuy-An nay thống hạt huyện Đồng-Xuân và lãnh 5 tổng, 69 xã, thôn, phường."
q10_11_page_17-0005,HUYỆN ĐỒNG-XUÂN
q10_11_page_17-0006,"Cách tỉnh 3 dặm. Từ đông đến tây 41 dặm, từ nam đến bắc 46 dặm."
q10_11_page_17-0007,Từ huyện-lỵ xuống phía đông giáp biển 1 dặm; lên phía tây đến đất Mọi 40 dặm; phía nam đến địa-giới phủ Tuy-An 11 dặm; bắc giáp-giới huyện Tuy-Phước tỉnh Bình-Định 35 dặm.
q10_11_page_17-0008,"Huyện này đặt ra từ thuở đầu khai-quốc (Vào năm Tân-hợi (1611) khi Văn-Phong đánh dẹp Chiêm-Thành, như đã nói trên)."
q10_11_page_17-0009,Năm Minh-Mạng thứ 7 (1826) huyện này thuộc phủ Tuy-An kiêm-lý.
q10_11_page_17-0010,Năm Tự-Đức thứ 6 (1853) do đạo (Phú-Yên) kiêm-lý.
q10_11_page_17-0011,"Năm Thành-Thái 11 (1899) triều đình lại đặt Tri huyện, trích lấy tổng Xuân-Đài của phủ Tuy-An chia đặt làm 2 tổng Xuân-Đài và Xuân-Bình, cùng tổng Xuân-Sơn-thượng cải tên làm tổng Xuân-Phong, lệ-thuộc vào huyện mà thuộc phủ Tuy-An thống hạt."
q10_11_page_17-0012,Năm thứ 12 (1900) trích lấy 6 thôn trong tổng Xuân-Phong của huyện hạt này tháp-nhập vào tổng Sơn-Xuân huyện Sơn-Hòa.
q10_11_page_17-0013,Huyện Đồng-Xuân nay lãnh 3 tổng.
q10_11_page_17-0014,"47 xã, thôn, phường, ấp."
q10_11_page_17-0015,PHỦ TUY-HOÀ
q10_11_page_17-0016,"Cách tỉnh 45 dặm, Từ đông đến tây 29 dặm, từ nam đến bắc 33 dặm."
q10_11_page_17-0017,Từ phủ-lỵ xuống phía đông đến biên 4 dặm; phía tây đến giới huyện Sơn-Hòa 25 dặm; phía nam đến giới phủ Ninh-Hoà tỉnh Bhánh-Hoà 25 dặm; phía bắc đến giới phủ Tuy-An 8 dặm.
q10_11_page_17-0018,"Thuở đầu khai-quốc, phủ này được đặt làm huyện (vào năm Tân-Hợi đã nói trên)."
q10_11_page_17-0019,"Năm Minh-Mạng thứ 7 (1826) thuộc phủ Tuy-An kiêm-lý, đến năm Tự-Đức thứ 6 do Đạo (Phú-Yên) kiêm lý."
q10_11_page_17-0020,"Năm Thành-Thái 11 (1899) triều-đình cải thăng làm phủ, đặt Tri-phủ thống bạt huyện Sơn-Hòa, lãnh coi 5 tổng (Hoà-Đa, Hoà-Bình Hoà-Mỹ, Hoà-Lạc, Hoà-Lộc)."
q10_11_page_17-0021,Năm thứ 12 (1900) trích lấy 12 xã thôn trong tổng Sơn-Tường của huyện Sơn-Hòa đặt làm tổng Hoà-Tường thuộc về phủ này.
q10_11_page_17-0022,Nay phủ Tuy-Hòa lãnh 6 tổng.
