pair_id	han_sentence	viet_sentence
HVB_001_000001	大南一統志卷之一。 京師，京師統山海之會，居南北之中，氣候和平，山水奇秀。 海道則有順安汛、思賢汛為之險；陸路則有廣平關、海雲關為之阻。 大江羅其前，峻嶺衛其後，蒲澤三源縈帶左右，三江潭青、藍潭河中潭為之關鎖。	Kinh-sư thống hội cả núi biển, ở giữa bắc nam, khí hậu hòa bình, núi sông tốt đẹp; đường biển có tấn Thuận-an, tấn Tư-hiền làm nơi hiểm yếu; đường bộ có ải Quảng-Bình, ải Vân-quan làm cho cách trở; sông lớn bao la ở trước, núi cao hộ vệ ở sau, ba nguồn Bồ-trạch quanh chảy 2 bên, đầm Tam-giang, đầm Thanh-lam đầm Hà-trung làm then khóa cửa ngõ.
HVB_001_000002	龍蟠虎踞，地勝形強。 大南一統志卷一京師，誠天地之奧區，為帝王之上都也。	Địa thế hùng tráng như rồng lượn quanh co, hổ ngồi chĩnh chệ, thật là bụng rốn của trời đất thượng-đô của Đế vương vậy.
HVB_001_000003	自安南建長月國，在陳為順化地，黎為順化承宣，均稱重鎮。	An-Nam ta từ đời Trần dựng nước đặt làm Thuận-hóa, đời Lê đặt làm Thuận-hóa-thừa-tuyên đều xưng làm trọng trấn.
HVB_001_000004	太祖嘉裕皇帝受天眷命，肇基南服，初營子愛子，尋移於茶鉢，均名屬廣治登昌縣，又熙宗孝文皇帝及自葛營移於福安社，名屬子之東，號葛營。	Bản triều Thái-Tổ Gia-Dụ Hoàng-Đế được mạng trời quyến cố, dựng cơ nghiệp miền-nam, ban đầu đóng dinh ở xã Ái-tử, sau dời qua xã Trà-bát (thuộc huyện Đăng-xương Quảng-Trị lại dời qua phía đông xã Ái tử gọi là Cát-dinh).
HVB_001_000005		Hy-Tông Hiếu-Văn Hoàng-Đế lại từ Cát-dinh dời qua xã Phước-an thuộc huyện Quảng Điền.
HVB_001_000006	神宗孝昭皇帝以金龍形勝之地，復徙營居之盧田縣。	Thần-Tông Hiếu-Chiêu Hoàng-Đế lấy xã Kim-long là chỗ có hình thế lại dời qua đó.
HVB_001_000007	英宗孝義皇帝又移於富春均社，名金龍富春國。	Anh-Tông Hiếu-nghĩa Hoàng-Đế lại dời qua Phú-Xuân.
HVB_001_000008	世宗孝武皇帝分設境內十二營，其在富春則曰正營，又稱都城，皆順化地也。	Thế-Tông Hiếu-Võ Hoàng-Đế chia đặt cảnh-nội làm 12 dinh, ở Phú-Xuân thì gọi chính-dinh, lại xưng là Đô-thành, cũng đều đất Thuận Hóa cả.
HVB_001_000009	北跨𤅷江，南拓占臘，列聖相傳二百餘年。	Thuận Hóa phía bắc vượt qua Linh-giang, phía nam mở đến Chiêm Thành, Chân-Lạp, liệt thánh truyền nhau hai trăm dư năm.
HVB_001_000010	睿宗孝定皇帝甲午年鄭人來侵，尋為僞西竊據，垂三十年。	Năm Giáp-Ngọ đời vua Duệ-Tông Hiếu-Định Hoàng-Đế, người họ Trịnh đến xâm lấn, rồi lại bị Tây-Sơn trộm chiếm trải 30 năm.
