pair_id	han_sentence	viet_sentence
pair_0001	總計	QUỐC SỬ QUAN TRIỀU NGUYEN VIỆN KHOA HỌC XÃ HỘI VIỆT NAM VIỆN SỬ HỌC [8 NHÀ XUẤT BAN THUẬN HOÁ  QUỐC SU QUAN TRIEU NGUYEN | VIEN KHOA HỌC XÃ HỘI VIET NAM VIỆNSỨHỌC ˆ.
pair_0002	承府	Phiên dịch và chú giải ĐẠI NAM NHẤT THONG CHÍ Tập] (Tái bản lần thứ hai) Người dịch: PHẠM TRỌNG ĐIỀM Người hiệu đính: ĐÀO DUY ANH NHÀ XUẤT BẢN THUẬN HÓA HUẾ - 2006 | dainamnhatthongchiT1le.pdf Lời nói đầu Trong lịch sử Việt Nam, địa lý học là một môn học có lịch sử lâu đời.
pair_0003	丁五萬八千五百四十人田土十二萬六千一百五十畝	Theo Lê Quý Đôn, năm 1172 đời vua Lý Anh Tông đã có một quyển địa lý học Việt Nam gọi là Nam Bắc phiên giới địa đồ.
pair_0004	稅粟九萬六千三百五十七斛錢十一萬一千八百八十三緡	Năm 1435, vua Lê Thái Tông sai Nguyễn Trãi soạn sách Dư địa chí mà nhiều người vẫn gọi là Ức Trai dư địa chí.
pair_0005	銀一十四百七十七兩	Sau khi Nguyễn Trãi làm xong Dư địa chí, Lê Thái Tông sai Nguyễn Thiên Túng làm tập chú, Nguyễn Thiên Tích làm cẩn án, Lý Tử Tấn làm thông luận, rồi sai khắc in vào bộ Quốc thư bảo huấn đại toàn.
pair_0006	廣南省	Dư địa chí của Nguyễn Trãi là quyển sách địa lý học xưa nhất còn lại cho chúng ta đến ngày nay.
pair_0007	十五萬一千四百五十八人田土三萬三千一百六十二部	Năm 1400, tức năm Hong Đức thứ 21, Lê Thánh Tông sai làm sách Thiên ha bản đồ.
pair_0008	稅粟九萬三百六十四斛錢十一萬五千九十九緡	Đến thế kỷ XVII, người ta đã căn cứ vào sách Thiên hạ bản đồ mà soạn ra sách Hồng Đức bản đồ trong đó có phụ chép cả bản đồ năm Trịnh Sâm đem quân đánh Thuận Quảng (1774).
pair_0009	金六百九十七兩四錢八分銀二千六十一兩	Đầu thé ky XVIII vào năm Bảo Thái thứ tư đời vua Lê Dụ Tông, Trịnh Cương sai định lại biên giới các châu huyện rồi làm ra sách Tân định bản đồ.
pair_0010	廣義省丁二萬三千五百二十四人田土五萬八百二十九畝	Cuối đời vua Lê Hiển Tông, Dương Nhữ Ngọc người Lạc Đạo huyện Gia Lâm viết một quyển địa lý học Việt Nam gọi là Thiên Nam lộ đồ thư.
pair_0011	稅粟四萬六百七十四斛錢四萬四千八百二十七緡	Công vào cuối thế kỷ XVIII, Ngô Thi Si, Nguyễn Nghiễm, Nguyễn Tôn Quãi đã dựa vào Dư địa chí của Nguyễn Trãi mà soạn sách Nam quốc vũ cống.
pair_0012	銀一千三百九十兩	Dưới triều Tây Sơn, một số sách về địa lý học .
pair_0013	平定省	Việt Nam cũng ra đời.
pair_0014	丁五萬七千二百四十九人田五十萬七千七百五畝	Đó là sách Cảnh Thịnh tân đồ, Cao Bằng phủ toàn đồ, Mục mã trấn doanh đồ (các sách này bị người sau in lẫn vào sách Hồng Đức bản đồ).
pair_0015	稅粟七萬九千八百五十斛錢十二萬三千六百九十八貫	Đầu thế kỷ XIX, ngay sau khi lên ngôi vua được mấy năm, Gia Long sai Lê Quang Định soạn bộ Nhất thống dư địa chí.
